movie_id,director_id,name,gender
35797,20556,Bertrand Tavernier,2.0
88030,54767,Mika Kaurismäki,2.0
185191,19069,Claude Chabrol,0.0
83857,3097,Gordon Willis,2.0
33245,8876,Randal Kleiser,2.0
124460,1080036,Michael Blakemore,0.0
27281,18254,Simon Wincer,0.0
105045,39298,Margarethe von Trotta,1.0
40001,24318,Richard Benjamin,2.0
29621,104404,Norberto Barba,2.0
117730,585248,Eli Cohen,0.0
20762,43786,Robert Mandel,2.0
37144,1046169,Pat Verducci,1.0
48260,172,Michael Winterbottom,2.0
12656,73838,Steven Baigelman,2.0
38867,42113,Zalman King,0.0
277270,1661328,Barry Caillier,0.0
25969,56059,Patrick Read Johnson,2.0
44103,81964,Stijn Coninx,0.0
753,11147,John Cassavetes,2.0
43634,129708,Stacy Cochran,1.0
9103,15111,Jean-Claude Van Damme,2.0
90214,59438,Mark Joffe,2.0
29649,104507,Steve Gomer,2.0
10990,7256,Lee Tamahori,2.0
8866,7145,Michael Lehmann,2.0
12233,71792,George Scribner,2.0
23449,1175207,Tom DeCerchio,0.0
36355,129941,Alan Shapiro,2.0
37667,1016352,Angela Pope,1.0
90148,1585647,Betty Kaplan,1.0
922,4429,Jim Jarmusch,0.0
11876,25950,Jean-Paul Rappeneau,2.0
52633,31310,Jack Hill ,2.0
62364,108499,Manuel Gómez Pereira,0.0
11687,64909,Jean-Marie Poiré,2.0
9304,1524,Harold Ramis,2.0
73183,940684,Brett Thompson,0.0
131232,1093108,Francesco Sframeli,0.0
131232,1093110,Spiro Scimone,0.0
9100,41549,Andrew Fleming,2.0
20759,68215,Reginald Hudlin,2.0
46063,5696,Bruce Beresford,2.0
32513,19304,John Schlesinger,2.0
40651,124237,Stephen Quay,2.0
40651,124238,Timothy Quay,2.0
36915,18500,Phil Joanou,2.0
40507,19266,Larry Cohen,2.0
9802,865,Michael Bay,2.0
25697,29706,Harvey Miller,2.0
21588,87680,Michele Soavi,2.0
664,2209,Jan de Bont,2.0
11867,70792,David Hogan,2.0
47119,16988,Maurice Pialat,2.0
314352,564791,Gabriel Barylli,0.0
9323,12180,Mamoru Oshii,2.0
10280,64796,Tom Holland,2.0
10535,65548,Rick Friedberg,2.0
124613,145304,Udayan Prasad,2.0
532,7314,Nick Park,2.0
